Submission_id,Participant_id,Status,Custom study tncs accepted at,Started_time,Completed_time,Reviewed_time,Archieve_time,Time_taken,Custom_id_prolific,Total_Prolific_approvals,Age,Sex,Ethnicity ,Birth_country,Residency_country,Nationality,Language,Student_status,Employment_status 
6627d5e1cc6b044781a1d909,5f983fad466c460c50a7889f,APPROVED,Not Applicable,2024-04-23T15:38:16.765000Z,2024-04-23T15:40:15.252000Z,2024-04-23T16:13:55.141000Z,2024-04-23T15:40:16.088772Z,119,51,265,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6627d5e477549c867612f7fe,5c44f027044844000161d953,APPROVED,Not Applicable,2024-04-23T15:38:19.013000Z,2024-04-23T15:39:40.751000Z,2024-04-23T16:15:16.348000Z,2024-04-23T15:39:41.235309Z,82,52,408,41,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6627d5e631133892c802697e,5f67e060c67dc442a020d8af,APPROVED,Not Applicable,2024-04-23T15:38:19.319000Z,2024-04-23T15:39:32.747000Z,2024-04-23T16:15:40.069000Z,2024-04-23T15:39:33.711150Z,74,53,96,34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d5e708069e47d9f8d0e3,6547ad7f4510d0a39294fefd,APPROVED,Not Applicable,2024-04-23T15:38:20.078000Z,2024-04-23T15:39:25.738000Z,2024-04-23T16:13:58.027000Z,2024-04-23T15:39:26.517898Z,66,53,46,62,Male,White,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
6627d5e98fa3e7b7ec4c94a7,5ffc7d87e9d7980792e1d8b8,APPROVED,Not Applicable,2024-04-23T15:38:20.556000Z,2024-04-23T15:39:56.092000Z,2024-04-23T16:13:57.187000Z,2024-04-23T15:39:56.607755Z,96,54,31,32,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6627d5f41a228a32331f1d98,5c7017ac1e20530001e7ce63,APPROVED,Not Applicable,2024-04-23T15:38:30.476000Z,2024-04-23T15:39:16.268000Z,2024-04-23T16:14:36.731000Z,2024-04-23T15:39:16.908981Z,46,55,283,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d5f3acdade48a414e559,616417e0bbf6f3d79b4116bb,APPROVED,Not Applicable,2024-04-23T15:38:30.932000Z,2024-04-23T15:39:03.915000Z,2024-04-23T16:13:59.205000Z,2024-04-23T15:39:04.490009Z,33,56,297,24,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
6627d5dc77549c867612f7fa,5f29a54ccd7baa0f974a42e3,APPROVED,Not Applicable,2024-04-23T15:38:37.981000Z,2024-04-23T15:39:55.133000Z,2024-04-23T16:14:34.376000Z,2024-04-23T15:39:56.166632Z,78,57,136,34,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d602d917151ef85ccfb4,60c86505e26bc5e0e2e725eb,APPROVED,Not Applicable,2024-04-23T15:38:45.715000Z,2024-04-23T15:39:25.985000Z,2024-04-23T16:14:34.975000Z,2024-04-23T15:39:26.614783Z,41,58,113,28,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d5ff1c01b43d88405279,603e66c867d4bcef6f7af649,APPROVED,Not Applicable,2024-04-23T15:38:49.782000Z,2024-04-23T15:40:28.329000Z,2024-04-23T16:14:00.300000Z,2024-04-23T15:40:28.818407Z,99,59,284,24,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6627d607daa23375cbe3e6eb,5ce686eb185715001508c6cb,APPROVED,Not Applicable,2024-04-23T15:38:51.445000Z,2024-04-23T15:39:47.748000Z,2024-04-23T16:15:18.840000Z,2024-04-23T15:39:48.236669Z,57,60,899,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6627d606f04b249f94112c0e,661fdfd33dfe00cbf53aca75,APPROVED,Not Applicable,2024-04-23T15:38:54.835000Z,2024-04-23T15:40:02.273000Z,2024-04-23T16:14:35.804000Z,2024-04-23T15:40:02.774713Z,68,61,2,32,Female,White,Iceland,Iceland,Iceland,Icelandic,No,Full-Time
6627d60fcc5c1584bffd9997,64b2a3437bd5a7cc14d73735,APPROVED,Not Applicable,2024-04-23T15:38:55.512000Z,2024-04-23T15:39:46.867000Z,2024-04-23T16:14:38.808000Z,2024-04-23T15:39:48.586622Z,52,62,90,22,Prefer not to say,White,Greece,Greece,Greece,Greek,Yes,Other
6627d602d248ba34be63456f,656f55d347936d01fbec6dfb,APPROVED,Not Applicable,2024-04-23T15:38:55.678000Z,2024-04-23T15:40:22.078000Z,2024-04-23T16:14:38.027000Z,2024-04-23T15:40:22.860098Z,87,63,17,18,Male,White,Ukraine,Latvia,Ukraine,Ukrainian,Yes,Unemployed (and job seeking)
6627d60c5339117911a784a2,60d64a858ac8cd7015ae3492,APPROVED,Not Applicable,2024-04-23T15:38:58.615000Z,2024-04-23T15:40:05.502000Z,2024-04-23T16:14:39.649000Z,2024-04-23T15:40:06.102967Z,67,64,321,25,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Other
6627d612024036002f2e798f,65a6abd90915ab28fec901ef,APPROVED,Not Applicable,2024-04-23T15:39:01.406000Z,2024-04-23T15:40:47.229000Z,2024-04-23T16:14:40.887000Z,2024-04-23T15:40:47.658458Z,106,65,53,43,Female,White,Spain,France,Spain,Spanish,No,Full-Time
